loc_id,last_seen
1025:4076,2022-03-05
1034:ecbd,2022-02-11
1034:f67a,2022-02-20
1043:90eb,2022-03-04
1066:04e8,2022-03-04
1078:d1fd,2022-03-05
1091:8897,2022-03-05
1627:b1ca,2022-03-05
1704:1a10,2022-03-06
1812:8408,2022-03-06
2287:731f,2022-03-07
2402:584b,2022-03-05
2512:c854,2022-03-05
2512:cd4e,2022-02-10
2516:a7ff,2022-03-04
2597:377e,2022-03-07
2612:70c8,2022-03-07
2632:fe39,2022-02-19
2685:3481,2022-02-20
2907:b75a,2022-02-16
3026:0941,2022-03-05
3032:8483,2022-03-05
3045:5690,2022-03-05
3072:0ab5,2022-03-04
3076:4c65,2022-03-02
3077:df6c,2022-02-21
3078:6b21,2022-03-01
3085:3cda,2022-03-04
3119:16e3,2022-02-25
3454:0363,2022-03-06
3526:d463,2022-03-04
3527:d3f3,2022-03-07
3534:472b,2022-02-20
3552:3c0f,2022-03-04
3562:ffee,2022-02-28
3563:0108,2022-03-07
3584:ea3a,2022-03-07
3902:c6d1,2022-03-06
4325:8db3,2022-03-07
4462:60da,2022-03-06
4462:6e15,2022-03-06
4704:d9b5,2022-03-07
5042:dd22,2022-03-07
5048:eb06,2022-03-07
5049:4621,2022-02-22
5406:fec5,2022-03-07
5644:7872,2022-03-07
5807:ff2f,2022-03-06
6101:feea,2022-03-07
6229:121a,2022-03-07
6541:dc80,2022-02-10
6541:fa99,2022-03-06
6603:3380,2022-03-04
6662:96b8,2022-03-06
7131:943a,2022-02-26
7141:2c44,2022-03-07
7324:5c1f,2022-03-06
7471:149c,2022-03-05
7514:8035,2022-03-05
7556:3644,2022-03-05
7903:64b3,2022-03-07
7942:5846,2022-03-06
7951:0243,2022-03-06
8013:1e91,2022-03-06
8242:849d,2022-03-07
8447:9987,2022-03-05
8924:58b0,2022-03-05
9291:7875,2022-03-05
9502:747f,2022-03-06
9711:ed2c,2022-02-26
9723:e146,2022-03-05
9743:6abf,2022-03-05
9743:9d51,2022-02-10
9747:1c04,2022-03-05
